0,52
0,100
68,52
68,100
1,52
1,100
68,52
68,100
2,66
2,100
68,66
68,100
3,69
3,100
68,69
68,100
4,50
4,100
68,50
68,100
5,61
5,100
68,61
68,100
6,61
6,100
68,61
68,100
7,68
7,100
68,68
68,100
8,54
8,100
68,54
68,100
8,61
8,100
68,61
68,100
8,68
8,100
68,68
68,100
9,83
9,100
68,83
68,100
9,48
9,100
68,48
68,100
11,44
11,100
68,44
68,100
11,80
11,100
68,80
68,100
12,65
12,100
68,65
68,100
13,60
13,100
68,60
68,100
14,84
14,100
68,84
68,100
15,62
15,100
68,62
68,100
16,50
16,100
68,50
68,100
17,70
17,100
68,70
68,100
17,50
17,100
68,50
68,100
17,58
17,100
68,58
68,100
21,50
21,100
68,50
68,100
25,65
25,100
68,65
68,100
25,56
25,100
68,56
68,100
25,52
25,100
68,52
68,100
26,52
26,100
68,52
68,100
27,42
27,100
68,42
68,100
27,41
27,100
68,41
68,100
27,79
27,100
68,79
68,100
27,57
27,100
68,57
68,100
27,61
27,100
68,61
68,100
27,63
27,100
68,63
68,100
27,43
27,100
68,43
68,100
27,68
27,100
68,68
68,100
27,73
27,100
68,73
68,100
27,62
27,100
68,62
68,100
27,64
27,100
68,64
68,100
27,66
27,100
68,66
68,100
27,55
27,100
68,55
68,100
27,72
27,100
68,72
68,100
27,52
27,100
68,52
68,100
28,57
28,100
68,57
68,100
28,64
28,100
68,64
68,100
28,67
28,100
68,67
68,100
28,63
28,100
68,63
68,100
28,58
28,100
68,58
68,100
29,77
29,100
68,77
68,100
29,55
29,100
68,55
68,100
30,48
30,100
68,48
68,100
30,45
30,100
68,45
68,100
31,77
31,100
68,77
68,100
31,55
31,100
68,55
68,100
32,77
32,100
68,77
68,100
32,55
32,100
68,55
68,100
33,78
33,100
68,78
68,100
0,52
0,101
68,52
68,101
1,52
1,101
68,52
68,101
2,66
2,101
68,66
68,101
3,69
3,101
68,69
68,101
4,50
4,101
68,50
68,101
5,61
5,101
68,61
68,101
6,61
6,101
68,61
68,101
7,68
7,101
68,68
68,101
8,54
8,101
68,54
68,101
8,61
8,101
68,61
68,101
8,68
8,101
68,68
68,101
9,83
9,101
68,83
68,101
9,48
9,101
68,48
68,101
11,44
11,101
68,44
68,101
11,80
11,101
68,80
68,101
12,65
12,101
68,65
68,101
